{'temperature':534.67, 'engineering_strain_rate':0.0001 }
time, displacement, load, engineering_strain, engineering_stress
5.980100000000675209e+00,1.146724999999999935e-05,2.197400000000000020e+00,4.586899999999999739e-05,1.773535802416583151e-01
1.148070000000006985e+01,5.202350000000000259e-06,1.009050000000000047e+01,2.080940000000000104e-05,8.144108043271380826e-01
9.505300999999999476e+02,5.321574999999999528e-07,8.117200000000000415e+00,2.128629999999999811e-06,6.551444805395417736e-01
9.595303999999996449e+02,3.037250000000000101e-05,3.348500000000000032e+00,1.214900000000000040e-04,2.702596083731650389e-01
9.650311000000001513e+02,6.299825000000000284e-06,3.677400000000000002e+00,2.519930000000000114e-05,2.968053408485820666e-01
9.710305000000007567e+02,9.096974999999999414e-06,4.992899999999999672e+00,3.638789999999999766e-05,4.029801996853443757e-01
9.755308999999979278e+02,5.107024999999999609e-06,4.335099999999999731e+00,2.042809999999999844e-05,3.498887347345103205e-01
9.845305999999982305e+02,2.146772500000000121e-06,7.175000000000000266e-01,8.587090000000000483e-06,5.790989069964041364e-02
9.955306999999993423e+02,1.014185000000000015e-05,1.046300000000000008e+00,4.056740000000000058e-05,8.444755211015159135e-02
1.001530299999998533e+03,7.496699999999999730e-06,1.539700000000000069e+00,2.998679999999999892e-05,1.242701863557301029e-01
1.010030899999997928e+03,4.195899999999999925e-06,9.926000000000000156e+00,1.678359999999999970e-05,8.011339025569765848e-01
1.160050800000000891e+03,9.503225000000000818e-06,3.512900000000000134e+00,3.801290000000000327e-05,2.835284390784206798e-01
1.250050899999998364e+03,8.836599999999999387e-06,8.774900000000000588e+00,3.534639999999999755e-05,7.082278744254699721e-01
1.280448599999999715e+03,4.383649999999999949e-06,4.992899999999999672e+00,1.753459999999999980e-05,4.029801996853443757e-01
1.285949199999999109e+03,4.776124999999999948e-06,1.046300000000000008e+00,1.910449999999999979e-05,8.444755211015159135e-02
1.290968899999999849e+03,6.548549999999999965e-07,7.130600000000000271e+00,2.619419999999999986e-06,5.755153541781964366e-01
1.294949099999997998e+03,1.916882499999999854e-06,1.124150000000000027e+01,7.667529999999999414e-06,9.073087613937389495e-01
1.297949300000000221e+03,1.593272499999999915e-05,2.982310000000000016e+01,6.373089999999999658e-05,2.407041757943478633e+00
1.300949199999999109e+03,8.443050000000000419e-07,3.130300000000000082e+01,3.377220000000000168e-06,2.526485447485496305e+00
1.304449399999997695e+03,3.890250000000000235e-05,2.916529999999999845e+01,1.556100000000000094e-04,2.353950292992644133e+00
1.307448700000000827e+03,1.537549999999999873e-05,5.169339999999999691e+01,6.150199999999999493e-05,4.172207866052671577e+00
1.310449199999999109e+03,1.005832499999999996e-05,5.810649999999999693e+01,4.023329999999999984e-05,4.689813329531227204e+00
1.313448799999998300e+03,3.809924999999999949e-05,6.287519999999999953e+01,1.523969999999999980e-04,5.074698201697603217e+00
1.316449300000000221e+03,4.361150000000000080e-05,7.241259999999999764e+01,1.744460000000000032e-04,5.844467946030357020e+00
1.319449000000000524e+03,4.670449999999999981e-05,6.895940000000000225e+01,1.868179999999999993e-04,5.565757932700742927e+00
1.322448599999999715e+03,5.371325000000000280e-05,8.704770000000000607e+01,2.148530000000000112e-04,7.025676366069810719e+00
1.325449599999999919e+03,5.567199999999999823e-05,1.053002999999999929e+02,2.226879999999999929e-04,8.498855559079226296e+00
1.328449399999997695e+03,7.898524999999999394e-05,1.046426000000000016e+02,3.159409999999999758e-04,8.445772165193298875e+00
1.331449000000000524e+03,7.544699999999999779e-05,1.141800000000000068e+02,3.017879999999999912e-04,9.215541909526052677e+00
1.334448899999999412e+03,9.252049999999999619e-05,1.258551999999999964e+02,3.700819999999999848e-04,1.015785487941656129e+01
1.346969399999998132e+03,1.264419999999999932e-04,1.697601999999999975e+02,5.057679999999999728e-04,1.370145592634020382e+01
1.406988999999997759e+03,4.236099999999999913e-04,4.062230000000000132e+02,1.694439999999999965e-03,3.278652199258540634e+01
1.526969399999998132e+03,3.036575000000000125e-03,6.392327999999999975e+02,1.214630000000000050e-02,5.159289418763080448e+01
1.586988499999999476e+03,5.042325000000000279e-03,6.823159000000000560e+02,2.016930000000000112e-02,5.507015915209307622e+01
1.646988399999998364e+03,7.177049999999999923e-03,7.107637999999999465e+02,2.870819999999999969e-02,5.736620762545097563e+01
1.706988799999999173e+03,9.360049999999999967e-03,7.336208000000000311e+02,3.744019999999999987e-02,5.921101093098642565e+01
