{'temperature':534.67, 'engineering_strain_rate':0.01 }
time, displacement, load, engineering_strain, engineering_stress
5.983099999999467400e+00,8.117125000000000655e-06,6.061600000000000321e+00,3.246850000000000262e-05,4.876813085832019667e-01
1.001649999999972351e+01,2.509299999999999844e-06,6.719299999999999606e+00,1.003719999999999938e-05,5.405960500137105829e-01
1.009990000000016153e+01,6.390100000000000025e-06,6.719299999999999606e+00,2.556040000000000010e-05,5.405960500137105829e-01
1.018319999999948777e+01,1.365077499999999976e-05,6.225999999999999979e+00,5.460309999999999903e-05,5.009079825852934542e-01
1.026639999999952124e+01,8.512525000000000292e-06,7.048199999999999577e+00,3.405010000000000117e-05,5.670574434400361685e-01
1.036639999999988504e+01,2.327077499999999881e-07,6.883799999999999919e+00,9.308309999999999526e-07,5.538307694379447366e-01
1.044970000000012078e+01,4.970024999999999904e-06,6.719299999999999606e+00,1.988009999999999962e-05,5.405960500137105829e-01
1.053319999999985157e+01,4.847775000000000355e-06,6.390399999999999636e+00,1.939110000000000142e-05,5.141346565873849972e-01
1.061650000000008731e+01,1.362025000000000059e-05,7.048199999999999577e+00,5.448100000000000235e-05,5.670574434400361685e-01
1.069999999999981810e+01,1.404755000000000072e-05,6.554899999999999949e+00,5.619020000000000286e-05,5.273693760116191509e-01
1.078309999999964930e+01,1.697697499999999851e-05,6.719299999999999606e+00,6.790789999999999403e-05,5.405960500137105829e-01
1.086639999999988504e+01,4.173824999999999802e-06,6.390399999999999636e+00,1.669529999999999921e-05,5.141346565873849972e-01
1.094970000000012078e+01,5.329149999999999621e-06,6.719299999999999606e+00,2.131659999999999848e-05,5.405960500137105829e-01
1.114980000000014115e+01,1.225822500000000070e-05,6.883799999999999919e+00,4.903290000000000280e-05,5.538307694379447366e-01
1.123309999999946740e+01,6.673124999999999742e-06,6.554899999999999949e+00,2.669249999999999897e-05,5.273693760116191509e-01
1.131649999999990541e+01,1.817295000000000021e-05,6.883799999999999919e+00,7.269180000000000086e-05,5.538307694379447366e-01
1.139999999999963620e+01,5.286100000000000092e-06,6.390399999999999636e+00,2.114440000000000037e-05,5.141346565873849972e-01
1.148309999999946740e+01,9.052324999999999765e-06,6.554899999999999949e+00,3.620929999999999906e-05,5.273693760116191509e-01
1.156639999999970314e+01,1.788602499999999957e-05,7.048199999999999577e+00,7.154409999999999828e-05,5.670574434400361685e-01
1.164989999999943393e+01,1.514137500000000036e-05,2.201219999999999999e+01,6.056550000000000144e-05,1.770974412827497124e+00
1.173319999999966967e+01,2.618050000000000116e-05,3.812720000000000198e+01,1.047220000000000046e-04,3.067494191073884213e+00
1.181660000000010768e+01,3.450249999999999704e-05,5.605109999999999815e+01,1.380099999999999882e-04,4.509547610453989996e+00
1.189989999999943393e+01,4.036074999999999808e-05,7.677039999999999509e+01,1.614429999999999923e-04,6.176502760402508230e+00
1.198319999999966967e+01,5.182624999999999868e-05,9.880519999999999925e+01,2.073049999999999947e-04,7.949295438634186084e+00
1.206639999999970314e+01,6.647400000000000086e-05,1.231422000000000025e+02,2.658960000000000034e-04,9.907309825428001204e+00
1.214959999999973661e+01,8.171450000000000512e-05,1.497813999999999908e+02,3.268580000000000205e-04,1.205054592078395004e+01
1.231639999999970314e+01,1.195897499999999946e-04,2.066774000000000058e+02,4.783589999999999782e-04,1.662806930291900898e+01
1.239989999999943393e+01,1.480709999999999991e-04,2.372631000000000085e+02,5.922839999999999962e-04,1.908881798312443934e+01
1.248309999999946740e+01,1.709805000000000005e-04,2.686709999999999923e+02,6.839220000000000022e-04,2.161571612418461186e+01
1.256639999999970314e+01,2.004960000000000130e-04,3.036965000000000146e+02,8.019840000000000519e-04,2.443366545666793854e+01
1.264959999999973661e+01,2.309282500000000128e-04,3.326379000000000019e+02,9.237130000000000514e-04,2.676212326058602642e+01
1.273309999999946740e+01,2.696199999999999834e-04,3.637169000000000096e+02,1.078479999999999933e-03,2.926256000821987513e+01
1.281639999999970314e+01,3.244149999999999898e-04,3.941381999999999834e+02,1.297659999999999959e-03,3.171008201442321450e+01
1.289999999999963620e+01,3.949024999999999888e-04,4.239017000000000053e+02,1.579609999999999955e-03,3.410468123377390270e+01
1.298319999999966967e+01,4.798299999999999918e-04,4.510341999999999985e+02,1.919319999999999967e-03,3.628760539655826989e+01
1.306629999999950087e+01,5.809549999999999697e-04,4.763578999999999724e+02,2.323819999999999879e-03,3.832500396363106177e+01
1.314969999999993888e+01,7.084475000000000234e-04,4.997083000000000084e+02,2.833790000000000094e-03,4.020364221556803841e+01
1.323300000000017462e+01,8.651449999999999982e-04,5.184543999999999642e+02,3.460579999999999993e-03,4.171184509580288591e+01
1.331639999999970314e+01,1.020422499999999949e-03,5.352272000000000389e+02,4.081689999999999797e-03,4.306128766090193238e+01
1.348300000000017462e+01,1.426264999999999911e-03,5.628529999999999518e+02,5.705059999999999645e-03,4.528389989111471436e+01
1.356639999999970314e+01,1.654375000000000030e-03,5.737060000000000173e+02,6.617500000000000118e-03,4.615706955622845697e+01
1.364980000000014115e+01,1.892119999999999956e-03,5.842300999999999931e+02,7.568479999999999826e-03,4.700377782791588288e+01
1.373300000000017462e+01,2.136527500000000215e-03,5.922876999999999725e+02,8.546110000000000859e-03,4.765204576246122059e+01
1.381639999999970314e+01,2.395997500000000141e-03,6.008384999999999536e+02,9.583990000000000564e-03,4.833999371901282416e+01
1.389969999999993888e+01,2.648999999999999879e-03,6.077450000000000045e+02,1.059599999999999952e-02,4.889565079927709945e+01
1.398309999999946740e+01,2.938924999999999784e-03,6.143225999999999658e+02,1.175569999999999914e-02,4.942484648611503673e+01
1.406639999999970314e+01,3.218224999999999905e-03,6.205712999999999511e+02,1.287289999999999962e-02,4.992758077952665019e+01
1.414959999999973661e+01,3.503899999999999897e-03,6.253400000000000318e+02,1.401559999999999959e-02,5.031124282523088453e+01
1.423309999999946740e+01,3.785150000000000146e-03,6.309310000000000400e+02,1.514060000000000059e-02,5.076106237721198511e+01
1.431649999999990541e+01,4.058400000000000202e-03,6.358641999999999825e+02,1.623360000000000081e-02,5.115795914234044517e+01
1.439969999999993888e+01,4.366474999999999870e-03,6.403039999999999736e+02,1.746589999999999948e-02,5.151515979461834149e+01
1.448309999999946740e+01,4.664024999999999595e-03,6.452372000000000298e+02,1.865609999999999838e-02,5.191205655974680155e+01
1.464969999999993888e+01,5.280024999999999823e-03,6.531303000000000338e+02,2.112009999999999929e-02,5.254708977486789934e+01
1.473300000000017462e+01,5.588349999999999741e-03,6.562546999999999571e+02,2.235339999999999896e-02,5.279846094428476988e+01
1.481639999999970314e+01,5.899424999999999808e-03,6.603656999999999471e+02,2.359769999999999923e-02,5.312920824855848423e+01
1.489980000000014115e+01,6.205274999999999680e-03,6.643121999999999616e+02,2.482109999999999872e-02,5.344672083340797286e+01
1.498319999999966967e+01,6.515125000000000083e-03,6.671077000000000226e+02,2.606050000000000033e-02,5.367163060939852670e+01
1.524960000000010041e+01,7.529725000000000133e-03,6.768096000000000458e+02,3.011890000000000053e-02,5.445218942023119979e+01
1.624979999999959546e+01,1.133612500000000071e-02,7.106842000000000326e+02,4.534450000000000286e-02,5.717754398927775128e+01
1.724960000000010041e+01,1.514295000000000051e-02,7.412699000000000069e+02,6.057180000000000203e-02,5.963829266948317809e+01
1.826620000000002619e+01,1.901287499999999853e-02,7.688958000000000084e+02,7.605149999999999411e-02,6.186091294511810901e+01
1.924960000000010041e+01,2.273992500000000111e-02,7.917528999999999542e+02,9.095970000000000444e-02,6.369986312962666375e+01
2.024960000000010041e+01,2.656050000000000078e-02,8.154321999999999662e+02,1.062420000000000031e-01,6.560496277498997131e+01
2.124949999999989814e+01,3.040899999999999853e-02,8.354939000000000533e+02,1.216359999999999941e-01,6.721901122893012825e+01
2.224970000000030268e+01,3.420299999999999729e-02,8.548977999999999611e+02,1.368119999999999892e-01,6.878013689601762337e+01
2.425289999999949941e+01,4.187774999999999831e-02,8.884434999999999718e+02,1.675109999999999932e-01,7.147903007163783684e+01
2.524960000000010041e+01,4.572650000000000325e-02,9.037364000000000033e+02,1.829060000000000130e-01,7.270940843445163182e+01
2.624960000000010041e+01,4.956699999999999995e-02,9.182070999999999685e+02,1.982679999999999998e-01,7.387363733641066688e+01
2.726620000000002619e+01,5.350499999999999701e-02,9.318555999999999813e+02,2.140199999999999880e-01,7.497171677751497043e+01
2.826630000000022847e+01,5.737500000000000239e-02,9.445173999999999523e+02,2.295000000000000095e-01,7.599041203834029545e+01
2.926609999999982392e+01,6.126750000000000251e-02,9.561926999999999452e+02,2.450700000000000101e-01,7.692973920973093982e+01
