{'temperature':534.67, 'engineering_strain_rate':500 }
time, transmitted displacement, incident displacement, load, engineering_strain, engineering_stress, displacement
8.359999999999999579e-06,-4.500699999999999531e-07,5.716100000000000210e-06,4.556204003000000391e+00,1.442799999999999942e-04,3.654000000000000026e-01,2.427625984251968651e-04
1.768000000000000013e-05,2.636799999999999894e-06,6.723099999999999209e-06,1.181708508500000043e+01,7.412700000000000365e-05,9.477100000000000524e-01,1.608779527559054995e-04
2.712000000000000123e-05,5.723699999999999934e-06,6.723099999999999209e-06,2.589799680000000137e+01,-1.447400000000000000e-04,2.077100000000000168e+00,3.934645669291335747e-05
3.645999999999999990e-05,-4.565899999999999771e-06,-2.339900000000000247e-06,5.146777245999999906e+01,1.875299999999999884e-04,4.127600000000000158e+00,8.763779527559054084e-05
4.621999999999999454e-05,-3.536899999999999967e-06,2.695099999999999827e-06,9.924193305000000009e+01,5.029900000000000343e-04,7.958999999999999631e+00,2.453543307086613928e-04
5.327999999999999810e-05,3.665799999999999698e-06,9.744100000000000439e-06,1.528139177500000017e+02,1.616900000000000054e-04,1.225500000000000078e+01,2.393031496062992549e-04
6.115999999999999041e-05,1.607899999999999886e-06,7.730100000000000748e-06,2.320253688999999895e+02,4.261299999999999875e-04,1.860800000000000054e+01,2.410314960629921465e-04
6.695999999999999587e-05,1.607899999999999886e-06,9.744100000000000439e-06,3.032673409999999876e+02,6.871899999999999580e-04,2.432199999999999918e+01,3.203228346456693108e-04
7.279999999999999416e-05,3.665799999999999698e-06,1.780000000000000237e-05,3.845133136000000604e+02,8.030500000000000312e-04,3.083699999999999974e+01,5.564645669291339589e-04
7.813999999999999386e-05,-1.479000000000000154e-06,1.175799999999999991e-05,4.638259287999999856e+02,1.049499999999999869e-03,3.719899999999999807e+01,5.211417322834645824e-04
8.341999999999999752e-05,1.189699999999999977e-05,1.880700000000000137e-05,5.427563687000000527e+02,1.446900000000000096e-03,4.352899999999999636e+01,2.720472440944882533e-04
8.865999999999999478e-05,1.607899999999999886e-06,2.484900000000000214e-05,6.190790242000000489e+02,1.804799999999999851e-03,4.964999999999999858e+01,9.150039370078741309e-04
9.387999999999998885e-05,8.810599999999999975e-06,2.686300000000000013e-05,6.858472972000000709e+02,2.154500000000000165e-03,5.500399999999999778e+01,7.107244094488189600e-04
9.909999999999999647e-05,3.665799999999999698e-06,3.089099999999999951e-05,7.372611155000000736e+02,2.394599999999999767e-03,5.912699999999999534e+01,1.071858267716535324e-03
1.043199999999999905e-04,7.781600000000000170e-06,3.290499999999999751e-05,7.601017099000000599e+02,3.081500000000000038e-03,6.095899999999999608e+01,9.891102362204722952e-04
1.095399999999999982e-04,3.665799999999999698e-06,4.398200000000000004e-05,7.559427434000000403e+02,4.719499999999999737e-03,6.062500000000000000e+01,1.587251968503937015e-03
1.147600000000000058e-04,1.498400000000000087e-05,5.103100000000000659e-05,7.485240463999999747e+02,5.199199999999999308e-03,6.003100000000000591e+01,1.419173228346456896e-03
1.199799999999999998e-04,5.723699999999999934e-06,5.807999999999999957e-05,7.555380872000000636e+02,6.350999999999999875e-03,6.059199999999999875e+01,2.061271653543307082e-03
1.252000000000000075e-04,6.752699999999999739e-06,6.714300000000000411e-05,7.668459798999999748e+02,7.667000000000000204e-03,6.149899999999999523e+01,2.377570866141732412e-03
