{'temperature':534.67, 'engineering_strain_rate':500 }
time, transmitted displacement, incident displacement, load, engineering_strain, engineering_stress, displacement
1.561999999999999953e-05,-1.291699999999999847e-06,-5.846600000000000486e-07,9.180974751000000822e+00,-5.753600000000000614e-05,7.362999999999999545e-01,2.783622047244093837e-05
2.883999999999999831e-05,-1.806100000000000165e-06,3.443299999999999711e-06,3.691363779999999650e+01,1.114900000000000049e-04,2.960399999999999920e+00,2.066692913385826899e-04
4.017999999999999816e-05,-7.771699999999999638e-07,-5.846600000000000486e-07,9.466706990000001554e+01,1.582200000000000132e-04,7.592200000000000060e+00,7.579133858267713013e-06
4.728000000000000133e-05,-2.320599999999999855e-06,7.471299999999999940e-06,1.504938888700000064e+02,1.417300000000000135e-04,1.206900000000000084e+01,3.855078740157480617e-04
5.364000000000000143e-05,-2.626900000000000315e-07,8.478299999999999785e-06,2.176353448100000207e+02,4.439900000000000097e-04,1.745400000000000063e+01,3.441334645669291356e-04
5.965999999999999461e-05,2.824199999999999997e-06,7.471299999999999940e-06,2.925214708000000314e+02,4.955899999999999628e-04,2.345899999999999963e+01,1.829566929133858366e-04
6.495999999999998791e-05,-1.806100000000000165e-06,1.049200000000000051e-05,3.665960363000000370e+02,9.394000000000000657e-04,2.939999999999999858e+01,4.841771653543307284e-04
7.018000000000000909e-05,-7.771699999999999638e-07,1.552699999999999889e-05,4.428512491000000182e+02,1.146199999999999997e-03,3.551599999999999824e+01,6.418964566929133940e-04
7.537999999999998640e-05,2.824199999999999997e-06,1.049200000000000051e-05,5.160715404000000035e+02,1.135299999999999894e-03,4.138800000000000523e+01,3.018818897637795735e-04
8.057999999999999083e-05,2.309700000000000095e-06,1.754100000000000028e-05,5.780963434999999890e+02,1.801000000000000083e-03,4.636299999999999955e+01,5.996574803149607325e-04
8.577999999999999525e-05,2.824199999999999997e-06,2.861800000000000281e-05,6.226984491000000617e+02,2.193699999999999817e-03,4.993800000000000239e+01,1.015503937007874134e-03
9.097999999999999967e-05,2.824199999999999997e-06,3.365300000000000458e-05,6.503949178999999958e+02,2.956900000000000153e-03,5.215999999999999659e+01,1.213732283464567276e-03
9.618000000000000410e-05,3.853100000000000429e-06,2.861800000000000281e-05,6.715044830000000502e+02,3.537899999999999639e-03,5.385300000000000153e+01,9.749960629921261644e-04
1.013799999999999950e-04,3.338699999999999899e-06,4.070199999999999757e-05,6.885450052000001051e+02,4.347199999999999849e-03,5.521999999999999886e+01,1.470996062992125861e-03
1.065799999999999994e-04,2.824199999999999997e-06,4.372300000000000134e-05,7.045289251000000377e+02,5.219800000000000134e-03,5.650199999999999534e+01,1.610188976377952908e-03
1.117799999999999903e-04,5.911100000000000038e-06,5.077200000000000110e-05,7.190066247000000885e+02,6.178300000000000285e-03,5.766300000000000381e+01,1.766177165354330773e-03
1.169799999999999947e-04,8.483500000000001023e-06,6.386300000000000841e-05,7.312362342999999782e+02,6.984699999999999069e-03,5.864399999999999835e+01,2.180295275590551744e-03
1.221799999999999991e-04,7.454500000000000372e-06,6.889800000000000340e-05,7.430387067999999999e+02,8.143499999999999697e-03,5.959000000000000341e+01,2.419035433070866430e-03
1.273799999999999900e-04,1.259900000000000084e-05,7.997500000000000594e-05,7.531101499999999760e+02,8.958499999999999450e-03,6.039800000000000324e+01,2.652598425196850320e-03
1.325800000000000080e-04,1.002700000000000073e-05,9.306600000000000647e-05,7.629118224000000055e+02,1.056700000000000000e-02,6.118500000000000227e+01,3.269251968503937133e-03
1.377799999999999988e-04,1.105599999999999884e-05,9.709400000000000246e-05,7.712747172000000546e+02,1.145499999999999990e-02,6.185499999999999687e+01,3.387322834645669755e-03
1.429799999999999897e-04,6.939999999999999622e-06,1.142100000000000060e-04,7.795252075000000787e+02,1.304699999999999957e-02,6.251699999999999591e+01,4.223228346456693073e-03
1.481800000000000077e-04,8.483500000000001023e-06,1.333499999999999887e-04,7.870787899000000607e+02,1.529300000000000104e-02,6.312199999999999989e+01,4.916003937007873588e-03
1.533799999999999985e-04,1.311400000000000014e-05,1.333499999999999887e-04,7.941153116000000409e+02,1.594900000000000137e-02,6.368600000000000705e+01,4.733700787401574905e-03
1.585800000000000165e-04,1.362799999999999895e-05,1.514700000000000117e-04,8.010169478999999910e+02,1.757599999999999787e-02,6.423999999999999488e+01,5.426850393700787673e-03
1.637799999999999803e-04,1.568599999999999856e-05,1.665799999999999941e-04,8.075364088999999694e+02,1.942299999999999929e-02,6.476300000000000523e+01,5.940708661417323094e-03
1.689799999999999712e-04,1.156999999999999934e-05,1.836999999999999929e-04,8.139659463000000414e+02,2.120700000000000016e-02,6.527800000000000580e+01,6.776771653543307156e-03
1.741799999999999891e-04,1.414299999999999995e-05,1.998099999999999995e-04,8.194962477000000263e+02,2.331599999999999992e-02,6.572199999999999420e+01,7.309724409448819550e-03
1.793799999999999800e-04,1.722999999999999936e-05,2.128999999999999979e-04,8.255211289000000079e+02,2.488699999999999940e-02,6.620499999999999829e+01,7.703543307086614146e-03
1.845799999999999980e-04,1.774400000000000155e-05,2.279999999999999854e-04,8.313886437999999544e+02,2.651499999999999690e-02,6.667600000000000193e+01,8.277795275590549631e-03
