{'temperature':534.67, 'engineering_strain_rate':500 }
time, transmitted displacement, incident displacement, load, engineering_strain, engineering_stress, displacement
1.072000000000000070e-05,-8.436399999999998966e-07,2.521499999999999914e-06,2.375556702999999992e+00,-5.585999999999999711e-05,1.919500000000000095e-01,1.324858267716535294e-04
1.978000000000000035e-05,1.214300000000000173e-06,2.521499999999999914e-06,4.880153772000000778e+00,1.984099999999999926e-04,3.943300000000000138e-01,5.146456692913384728e-05
2.855999999999999761e-05,2.757699999999999872e-06,5.542499999999999874e-06,9.617553829000001997e+00,1.040000000000000038e-05,7.771299999999999875e-01,1.096377952755905606e-04
3.619999999999999900e-05,1.214300000000000173e-06,5.542499999999999874e-06,1.566626478300000080e+01,-1.318299999999999897e-05,1.265900000000000025e+00,1.704015748031495871e-04
4.484000000000000437e-05,-3.291599999999999643e-07,1.514499999999999857e-06,2.796623960000000153e+01,-6.025000000000000082e-05,2.259799999999999809e+00,7.258503937007872739e-05
5.571999999999999506e-05,6.998000000000000592e-07,5.542499999999999874e-06,5.780738626000000124e+01,-3.423099999999999803e-05,4.671000000000000263e+00,1.906574803149606572e-04
6.329999999999999364e-05,-8.436399999999998966e-07,3.528500000000000183e-06,9.282588419000001068e+01,1.617699999999999911e-04,7.500600000000000378e+00,1.721314960629921522e-04
7.011999999999999950e-05,3.786700000000000099e-06,6.549500000000000566e-06,1.379877641999999867e+02,2.375500000000000007e-04,1.115000000000000036e+01,1.087716535433071109e-04
7.627999999999999473e-05,-8.436399999999998966e-07,7.556499999999999564e-06,1.930165112200000124e+02,6.371900000000000437e-04,1.559599999999999831e+01,3.307141732283463997e-04
8.163999999999999762e-05,6.998000000000000592e-07,9.570499999999999255e-06,2.498976844000000028e+02,6.825499999999999753e-04,2.019299999999999784e+01,3.492401574803149318e-04
8.705999999999999655e-05,6.998000000000000592e-07,1.259200000000000073e-05,3.166884383000000298e+02,7.664599999999999495e-04,2.558900000000000219e+01,4.681968503937008661e-04
9.227999999999999061e-05,2.757699999999999872e-06,1.158500000000000004e-05,3.892118217000000300e+02,1.153700000000000125e-03,3.144900000000000162e+01,3.475314960629921060e-04
9.745999999999999184e-05,1.853199999999999945e-07,1.359900000000000143e-05,4.618476096000000553e+02,1.493900000000000046e-03,3.731900000000000261e+01,5.280976377952757359e-04
1.026399999999999931e-04,2.757699999999999872e-06,1.863400000000000150e-05,5.283685927000000220e+02,1.569800000000000102e-03,4.269500000000000028e+01,6.250511811023623304e-04
