#time, displacement
5.999999999999999464e-08,3.844296594355262465e-06
4.980000000000000601e-06,3.103968277916931574e-04
9.960000000000001201e-06,5.687073575523424445e-04
1.541999999999999805e-05,7.312861368287716657e-04
1.967999999999999792e-05,7.567105737209369257e-04
2.341999999999999938e-05,7.265146863962046756e-04
2.776000000000000188e-05,6.555327228510253587e-04
3.176000000000000085e-05,5.797690746031122604e-04
3.536000000000000026e-05,5.224328419848905296e-04
3.895999999999999968e-05,4.925572297998675238e-04
4.203999999999999729e-05,5.013114857186432016e-04
4.525999999999999696e-05,5.561827025352930783e-04
4.807999999999999367e-05,6.518180757431159614e-04
5.085999999999999755e-05,7.977117361542031271e-04
5.360000000000000181e-05,9.991168461475062081e-04
5.625999999999999328e-05,1.256307953122804983e-03
5.881999999999999588e-05,1.567549110007714639e-03
6.134000000000000563e-05,1.941687967581022783e-03
6.386000000000000183e-05,2.390237700882742386e-03
6.637999999999999803e-05,2.920361090276766321e-03
6.890000000000000779e-05,3.539220916126986811e-03
7.142000000000000399e-05,4.253979958797287839e-03
7.394000000000000019e-05,5.071783174769833868e-03
7.645999999999999639e-05,5.997066178509400519e-03
7.898000000000000615e-05,7.028675589654257566e-03
8.150000000000000235e-05,8.164767759433637362e-03
8.401999999999999855e-05,9.403499039076793076e-03
8.654000000000000830e-05,1.074302577981297267e-02
8.906000000000000450e-05,1.218150433287140677e-02
9.158000000000000071e-05,1.371709104948134854e-02
9.409999999999998335e-05,1.534794228087203380e-02
9.662000000000000666e-05,1.707221437827274174e-02
9.913999999999998931e-05,1.888806369291266482e-02
1.041800000000000088e-04,2.277896998704372414e-02
1.066999999999999915e-04,2.483502107398662465e-02
1.092199999999999877e-04,2.695019553211781480e-02
1.117399999999999839e-04,2.911353100512001357e-02
1.142599999999999936e-04,3.131406513667596425e-02
1.167799999999999898e-04,3.354083557046838582e-02
1.192999999999999860e-04,3.578287995018002154e-02
1.218199999999999822e-04,3.802923591949360083e-02
1.243399999999999920e-04,4.026899367862415285e-02
1.268599999999999882e-04,4.249484583070609750e-02
1.293799999999999844e-04,4.470534343646492131e-02
1.319000000000000077e-04,4.689957504662740917e-02
1.344199999999999768e-04,4.907662921192024880e-02
1.369400000000000001e-04,5.123559448307027364e-02
1.394599999999999963e-04,5.337555941080420613e-02
1.419799999999999925e-04,5.549561254584878950e-02
1.444999999999999887e-04,5.759484243893080169e-02
1.470200000000000120e-04,5.967233764077702757e-02
1.495399999999999811e-04,6.172737149412094171e-02
1.520600000000000044e-04,6.376296363078969021e-02
1.545800000000000006e-04,6.578561971545490716e-02
1.570999999999999968e-04,6.780197806893986656e-02
1.596199999999999930e-04,6.981867701206784238e-02
1.621399999999999892e-04,7.184235486566208084e-02
1.646599999999999854e-04,7.387964995054585593e-02
1.671800000000000087e-04,7.593720058754241387e-02
1.696999999999999778e-04,7.802164509747495924e-02
1.722200000000000011e-04,8.013962180116686318e-02
1.747399999999999973e-04,8.229692783868988726e-02
1.772599999999999935e-04,8.449112693503206539e-02
1.797799999999999897e-04,8.671512312251795918e-02
1.823000000000000130e-04,8.896176743714524771e-02
1.873400000000000054e-04,9.349440459181461438e-02
1.898600000000000016e-04,9.576609950385203684e-02
1.923799999999999978e-04,9.803184668702148719e-02
1.948999999999999940e-04,1.002844971773206584e-01
1.974199999999999902e-04,1.025169028923339914e-01
1.999399999999999864e-04,1.047248344103693385e-01
2.024600000000000097e-04,1.069134824905468295e-01
2.049799999999999788e-04,1.090899348397023766e-01
2.075000000000000022e-04,1.112612791646720861e-01
2.100199999999999984e-04,1.134346031722918285e-01
2.125200000000000049e-04,1.155996197787017843e-01
2.150399999999999740e-04,1.177980101544794100e-01
2.175599999999999973e-04,1.200195870817735433e-01
2.200799999999999935e-04,1.222714382674200684e-01
2.225999999999999897e-04,1.245601192819373315e-01
2.251199999999999859e-04,1.268846384433442442e-01
2.276399999999999821e-04,1.292383994146514281e-01
2.301599999999999783e-04,1.316146730596939041e-01
2.326800000000000016e-04,1.340067302423066098e-01
2.351999999999999707e-04,1.364078418263244552e-01
2.377199999999999940e-04,1.388112786755824613e-01
2.402399999999999902e-04,1.412103116539155656e-01
2.427599999999999864e-04,1.435982116251587615e-01
2.452800000000000097e-04,1.459682494531469310e-01
2.478000000000000059e-04,1.483138375992618385e-01
2.503200000000000021e-04,1.506326398228639840e-01
2.528399999999999983e-04,1.529272103288355222e-01
2.553599999999999945e-04,1.552003735356976832e-01
2.578799999999999907e-04,1.574549538619716971e-01
2.603999999999999869e-04,1.596937757261787938e-01
2.629199999999999831e-04,1.619196635468402590e-01
2.654399999999999793e-04,1.641354417424772671e-01
2.679599999999999755e-04,1.663439347316110761e-01
2.704800000000000260e-04,1.685479669327629992e-01
2.719399999999999747e-04,1.698239763779527678e-01
