#time, displacement
2.000000000000000042e-08,2.900474355020493644e-08
9.880000000000000273e-06,1.588442464653715415e-05
1.866000000000000091e-05,3.754471713525681602e-05
2.710000000000000142e-05,7.141368775426474159e-05
3.693999999999999530e-05,1.349023254661594793e-04
4.422000000000000014e-05,2.036439936378964244e-04
5.115999999999999129e-05,2.902432264037893583e-04
5.671999999999999904e-05,3.764574550851303505e-04
6.221999999999999721e-05,4.775389321406464161e-04
6.751999999999999051e-05,5.906342360787495771e-04
7.281999999999998381e-05,7.199246166894200574e-04
7.812000000000000422e-05,8.661962907786411410e-04
8.341999999999999752e-05,1.030235475152393347e-03
8.871999999999999082e-05,1.212828386616660557e-03
9.401999999999999767e-05,1.414761241977425133e-03
9.931999999999999097e-05,1.636820258040669546e-03
1.046199999999999978e-04,1.879923563660758183e-03
1.099199999999999911e-04,2.145762565867940456e-03
1.152199999999999980e-04,2.436309574895517260e-03
1.205199999999999913e-04,2.753537298846686458e-03
1.258199999999999846e-04,3.099418445824649818e-03
1.311200000000000050e-04,3.475925723932608239e-03
1.364199999999999712e-04,3.885031841273755247e-03
1.417199999999999916e-04,4.328709505951300850e-03
1.470200000000000120e-04,4.808931426068438139e-03
1.523199999999999782e-04,5.327572246765760640e-03
1.576199999999999986e-04,5.883474788227983400e-03
1.629199999999999919e-04,6.471943399561685788e-03
1.682199999999999852e-04,7.088082278562086481e-03
1.735200000000000056e-04,7.726995623024407629e-03
1.788199999999999718e-04,8.383787630743854899e-03
1.841199999999999922e-04,9.053562499515660847e-03
1.894199999999999855e-04,9.731424427135029406e-03
2.000199999999999992e-04,1.109182625053914059e-02
2.053199999999999925e-04,1.176549539935067140e-02
2.106199999999999858e-04,1.243310737994544023e-02
2.159199999999999791e-04,1.309516279305102809e-02
2.212199999999999995e-04,1.375216223939500562e-02
2.265199999999999928e-04,1.440460631970494169e-02
2.318199999999999861e-04,1.505299563470841213e-02
2.371200000000000065e-04,1.569783078513298583e-02
2.424199999999999727e-04,1.633961237170623512e-02
2.477199999999999932e-04,1.697884099515574452e-02
2.530200000000000136e-04,1.761601655952268336e-02
2.583199999999999798e-04,1.825162743578692681e-02
2.636200000000000002e-04,1.888615251325884495e-02
2.689200000000000206e-04,1.952007039978067085e-02
2.742200000000000410e-04,2.015385970319465841e-02
2.795199999999999530e-04,2.078799903134302338e-02
2.848199999999999734e-04,2.142296699206805086e-02
2.901199999999999938e-04,2.205924219321196353e-02
2.954200000000000142e-04,2.269730324261700488e-02
3.007200000000000346e-04,2.333762853943521440e-02
3.060199999999999466e-04,2.398058881440718465e-02
3.113199999999999670e-04,2.462627159721568482e-02
3.166199999999999874e-04,2.527471840861426552e-02
3.219200000000000078e-04,2.592597076935651557e-02
3.272200000000000282e-04,2.658007020019598210e-02
3.325199999999999402e-04,2.723705822188625045e-02
3.378199999999999606e-04,2.789697635518090940e-02
3.431199999999999810e-04,2.855986612083351306e-02
3.484200000000000014e-04,2.922576903959763980e-02
3.537200000000000218e-04,2.989467061107205573e-02
3.590199999999999880e-04,3.056599601186760218e-02
3.643199999999999542e-04,3.123884787881968730e-02
3.749199999999999950e-04,3.258552608540511014e-02
3.802200000000000154e-04,3.325754996214424358e-02
3.855199999999999816e-04,3.392749537925150716e-02
3.908200000000000020e-04,3.459446110527981261e-02
3.961199999999999682e-04,3.525754590878206474e-02
4.014199999999999886e-04,3.591585725501742626e-02
4.067200000000000090e-04,3.656932603718240221e-02
4.120199999999999752e-04,3.721937203214290696e-02
4.173199999999999956e-04,3.786757162497536577e-02
4.226199999999999618e-04,3.851550120075614148e-02
4.279199999999999822e-04,3.916473714456162464e-02
4.332200000000000027e-04,3.981685584146821277e-02
4.385199999999999688e-04,4.047343367655227564e-02
4.438199999999999893e-04,4.113604703489022463e-02
4.491200000000000097e-04,4.180627230155844337e-02
4.544199999999999759e-04,4.248504556508220231e-02
4.597199999999999963e-04,4.316917625751002380e-02
4.650199999999999625e-04,4.385383717486202038e-02
4.703199999999999829e-04,4.453419699802294018e-02
4.756200000000000033e-04,4.520542440787748278e-02
4.809199999999999695e-04,4.586268808531041019e-02
4.862199999999999899e-04,4.650115671120644972e-02
4.915199999999999561e-04,4.711599896645032870e-02
4.968199999999999223e-04,4.770238353192678138e-02
5.021199999999999969e-04,4.825557880421304374e-02
5.074199999999999631e-04,4.877450391966314108e-02
5.127200000000000377e-04,4.926269386033819281e-02
5.180200000000000039e-04,4.972397968047870265e-02
5.233200000000000785e-04,5.016219243432525066e-02
5.285999999999999466e-04,5.057961353143827082e-02
5.338999999999999128e-04,5.098322426884902003e-02
5.391999999999999875e-04,5.137524064587897787e-02
5.444999999999999537e-04,5.175949371676864808e-02
5.497999999999999199e-04,5.213981453575859681e-02
5.499400000000000642e-04,5.214984251968503293e-02
